"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"POP","POO","POO","BOB","Pass-along",193,"2021-05-15 2","1"
"BOB","GOO","GOO","PGG","Pass-along",625,"2021-05-15 2","1"
"POP","OGO","OGO","BOB","Pass-along",726,"2021-05-15 2","1"
"GPG","OBB","OBB","PGG","Pass-along",1008,"2021-05-15 2","1"
"POP","POO","POO","BOB","Pass-along",48,"2021-05-15 2","1"
"POO","OPP","OPP","PPP","Pass-along",538,"2021-05-15 2","1"
"POO","GOP","GOP","OBB","Pass-along",1167,"2021-05-15 2","1"
"POP","POO","POO","BOB","Pass-along",130,"2021-05-15 2","1"
"GOO","OGO","OGO","POO","Pass-along",620,"2021-05-16 1","1"
"OBB","POP","POP","POO","Pass-along",10,"2021-05-16 1","1"
"OBB","PBB","PBB","OOP","Pass-along",17,"2021-05-16 1","1"
"OGO","POO","POO","BOB","Pass-along",66,"2021-05-16 1","1"
"BOB","GOO","GOO","GOP","Pass-along",349,"2021-05-16 1","1"
"BBB","OPP","OPP","PGG","Pass-along",1078,"2021-05-16 1","1"
"POP","GOO","GOO","GOP","Pass-along",397,"2021-05-16 1","1"
"BBB","GPG","GPG","PGG","Pass-along",56,"2021-05-16 1","1"
"GPG","POO","POO","BOB","Pass-along",1,"2021-05-16 1","1"
"BBB","OPP","OPP","GOP","Pass-along",482,"2021-05-16 1","1"
"BOB","PPP","PPP","PPO","Pass-along",1697,"2021-05-16 1","1"
"POP","PBO","PBO","POO","Pass-along",233,"2021-05-16 1","1"
"OBB","POO","POO","PPO","Pass-along",18,"2021-05-16 1","1"
"OOO","GPG","GPG","GGG","Pass-along",11,"2021-05-16 1","1"
"PBB","GGO","GGO","BOB","Pass-along",1007,"2021-05-16 1","1"
"PBB","GPG","GPG","BOB","Pass-along",288,"2021-05-16 1","1"
"POP","GOP","GOP","PGG","Pass-along",345,"2021-05-16 1","1"
"GOO","GOP","GOP","BOB","Pass-along",236,"2021-05-16 1","1"
"BOB","GOO","GOO","PPP","Pass-along",3,"2021-05-16 1","1"
"BBB","BOB","BOB","PGG","Pass-along",93,"2021-05-16 1","1"
"BBB","OPP","OPP","PGG","Pass-along",24,"2021-05-16 1","1"
"POP","OPP","OPP","PGG","Pass-along",11,"2021-05-16 1","1"
"BBB","OPP","OPP","PGG","Pass-along",5,"2021-05-16 1","1"
"BBB","GGO","GGO","GOP","Pass-along",2464,"2021-05-16 1","1"
"POP","OPP","OPP","PPO","Pass-along",874,"2021-05-16 1","1"
"BBB","OPP","OPP","OOO","Pass-along",17,"2021-05-16 1","1"
